ನಾಲಗ್ ವರ್ಷಾದ ಮೇಲೆ ರೋಣಾ ಗೋವರ್ಮೆಂಟಿಗೆ ನಿವು ಸಾಲಾ ಕೊಡವ ರೇತಿ ಬಳದಿರತಿರಾ ನಿಮಗು ಸಬ್ಸಿಡಿ ಬರೆ ಕೊಡವೇಕ ಗೋವರ್ಮೆಂಟಿಗೆ. ಕವರ್ಷ್ಟೂರಿಗಿ ಸ್ವಾಗತಾ ನಾನು ವಿಜೆಲಕ್ಷಮಿಶಿ ಬರೋರು ಕಾಡುಗಳ್ಳ ವಿರಪ್ಪನ್ ಸತ್ತಾಗ ನಾವೆಲ್ಲಾ ನಿತ್ತಿಸರು ಬಿಟ್ವಿ ನಾಡಿನ ಗಂದದ ಗಿಡಗಳೆಲ್ಲಾ ಉಳುದುವಿ ನಾವು ನೆಮ್ಮದಿಯಂದ ಇದ್ದುವಿ ಆದರೆ ನಾಮ್ಮ ನೆಮ್ಮದಿಯನ್ನ ಕೆಳಿಸ ನಮ್ಮಲ್ಲಿ ಒಂದು ವಿಚಿತ್ರವಾದ ಮನವಿ ಮಾಡ್ಕೊಂಡುರು. ಅದೇನಂದ್ರೆ ಬೆಂಗಳೂರು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆ ಆವರಣದಲ್ಲಿ ಕೋಟಿ ರುಪಾಯ್ ಶ್ರಿಗಂಧ ಲೂಟಿಯಾಗ್ತಿದೆ ನಮ್ಮ ಗ್ರಹಿಲಾಗಿಯ ಕಣ್ತಿರಿಸಿ ಅನ್ತ ಬೇಡಿಕೊಂಡುರು ಅವರ ಮನವಿಗೆ ಸ್ಪಂದಿಸಿದ ಕವರ್ ಸ್ಟೋರಿ ತಂಡ ಜಾನದೇಗುಳ ಜಾನಭಾರತಿ ಅತ್ತ ಪ್ರಯಾನ ಬಿಳಸಿಯೆ ಬಿಟಿತು ಮುಂಜಾವಿನ ಚುಮುಚ್ಚುಮು ಚಲಿಗೆ ವಿಸಿರಕ್ತದ ಪರಿಸರ ಪ್ರೇಮಿಗಳು ನಮ್ಮನ್ನ ಸ್ವಾಗತಿಸಿದ್ರು. ಪಹಳ ಉತ್ಸಾಧಿಂದ ಇದ್ದ ಅವರು ನಮ್ಮನು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆಯದ ಕೆಂಪಸ್ ಸುತ್ತಾಡಿಸಿದ್ರು ಇಲ್ಲಿನ ಕಾಡು ಯಾವರಿತಿ ಕಸದ ತೊಟ್ಟಿಯಾಗ್ತಿದೆ ಪ್ಲಾಸ್ಟಿಕ್ ಬಳಕಿನಿ ಶೇಧಿಸಲಾಗಿದ್ರು ಮೈವಾಗಿದೆ. ಕಟ್ಟಡಗಳ ತ್ಯಾಜ್ಯವನ್ನ ಇಲ್ಲಿ ನಿರಾಸೆ ನಾನ ಬಹಾರತ್ಯಾ ಗಂಧದ ಗುಡಿಯಲ್ಲಗೆ

ಎಂಟ್ರಿ ಕೊಡ್ತಿದ್ದ ಹಾಗೆ ಕರಗಿ ಹೋಯಿತು ಯಕಂದರೆ ನಮಗೆ ಅಚ್ಚರಿಯೆ ಕಾದಿತ್ತು ದ್ರುಷ್ಯಗಳನ್ನ ಕಂಡು ನಾ ಅಕ್ಕು ದರಿಂತ ಪ ನಾದಿಸೇಲ್ಲಿ ಹುವುದ ಆದಿಗಳು ಷಾಯಿತು ಹೊಡುರು ಡೋಟಿಗಳು ನಾದಾಲಿಯಿತು ಲಿಗ ಭೈರ್ಣನ್ನು ಹಋಯಿತು ಕಾದರೆ ಮದಾವೇದ ತಹ್ಯಿತಿದೆಸು. ಹೇಮ್ಮೆ ಕರುನಾಡ ಕಿರ್ತಿ ಅಂತಿವಿ ಆ ಆಪರೂಪದ ಸಂಪತ್ತು ಅನಾತ್ವಾಗಿದೆ ಅತ್ಯಮೂಳಿಯ ಮರಗಳು ಬೆಲೆ ಇಲ್ಲದ ಅಂತೆ ಬಿದ್ಧಿವೆ ನೂರಾರು ರು ಅದರು ರಾಚ್ವರ್ಟ್ ಆಗ್ತಾರೆಲ್ಲಾ ಎಲ್ಲಿ ಅನ್ನು ಮೂಳಿದಾರೆ ಮಾಡು ಮಾಟ್ಟಾರೆ ಅಲ್ಲಿ ಇಸ್ಟು ಗಂದರು ಗಿಡಗಳು ಹಲ್ಯು ನೋರ್ಬಕ ಗೆಟ್ಟು ಹಿತ್ತು ಅಲ್ಲಾ ಆದರು ಒಯಾ ಒಂದಿನ ಕದ್ರು ಪಾಯರಣಿದಿನ ಹಸೆಸಿ ನಿವುತು ಗಳ್ಡಿಕರ್ತು ಮಾಸ್ತಾ ಎನ್ನು ಒಂಚಾಗಾಳ ಮಾಟೆ ಎಲ್ಲಾ ಪೂರ್ತಿಕಡ ವೋಯಿಕು ನೋಡು ಇಸ್ತಪಾ ರೈಪ್ರಾಯಿ ಇಂದು ಕಡೆ ಅವ್ದಾ ಆಯ್ಯಾ ಕಾಲದಲ್ಲಿ ವಿವಿ ಆವರಣ ದಟ್ಟಾರಣ್ಯವಾಗಿತ್ತು ಇದು ವಿಶಿಷ್ಟ ಸಸ್ಯ ಪ್ರಾಣಿ ಪಕ್ಷಿಗಳ ನಿಲೆಬಿಡಾಗಿತ್ತು ಇದನ್ನ ಗುಡಿ ಅಂತನು ಕರೀಯುತಿದ್ರಂತೆ ಲಕ್ಷಾಂತರ ಮರಗಳಿದ್ದವಂತೆ ಹೇಚ್ಚು

ದೂರೆಯಕೆ ಎಂಬತ್ತರ ದಶಕದಲ್ಲಿ ಹೇಚ್ಚೆ ಇಟ್ಟಲ್ಲಿಲ್ಲಾ ಮರಗಳಿದ್ದವು ನಾಗ ದವತ್ತರ ವಇಕ್ಸುಡಲ್ಲಿ ಇಧುವಾ ನಾಗಳಲ್ಲಿ ಇವರತ್ತ ಮರ ಮರಗಳಿದ್ದ Lಾ ಅತ್ತರೀದ So the majority of therynучnae' are going to say it's tears', so I ask your priority give university This is Bangalore, as a body Bolsonaro, mr shelter's, we have protected with certain priorities From then onwards, it was national interest ಕಳ್ಳರ ಕೊಡಲಿಗೆ ಬಲಿಯಾಗುತ್ತಿವೇ ಅದರಲ್ಲು ವಿಜ್ಞಾನ ವಿಭಾಗದ ಬಯೋ ಪಾರ್ಕ್ನಲ್ಲಂತು ಶಿಗಂಧವನ್ನ ಹಾಡಹಗಲೆ ದರೋಡೆ ಮಾಡುತಿದಾರೆ ಸವುದೆ ವೈಯುವನ್ನು ನಿಪದಲ್ಲಿ ಬಂದು ತುಂಡನ್ನ ವೈಯುತ್ತಿದಾರೆ ಅನ್ನೋದು ಸ್ತಳಿಯರ ಆರೋಪಾ ಇಜಿ ಎಂದು ಒಂದೆ ಮಾಡುವಾಗಿದು ಇನ್ನು ಕಡಿದು ಹಾಕಿರುವ ಮರಗಳ ಸಂಕೆ ನೋಡಿದಾಗಾ ನಿಜವಾಗಳು ಶಾಕಾಗುತ್ತೆ ಸ್ಥಳಗಳ ತನಿಕ್ಕಿ ನಡಿಸದಾಗ ಅಮ್ಷಾ ಸ್ಪಷ್ಟವಾಗುತ್ತೆ ಕಳ್ಳರು ಯಾವ ಅಡೆತಡೆ ಇಲ್ಲದೆ ಮರಕಡಿವ ಎಂತ್ರ

ಬಳಸಿ ಆರಾಮವಾಗಿ ಅಪರೂಪದ ಸಂಪತ್ತನ್ನ ದೋಚಿತಿದ್ದಾರೆ ಅದು ಮಾತ್ರೋ ಕನ್ಫರ್ಮು ಎಕ್ಕಂದ್ರೆ ಇನ್ವಾಲ್ ಆಗ್ದೆ ಎನು ಮಡಾಕಾಗಾಲಾ ಮಾಟಿವರಾಲ್ಲಾ ಇವೇಲಿ ಫಸ್ತ್ ಬಿಲ್ಡಿಂಗಿಂದ ಇವೇಲಿಂಗು ವರ್ಗು ವೈಲಿದಿಯಲ್ಲಾ ಅರುಜನಲ್ಲಿ ಪೂರ್ತ ಬರಿ ಸಂಡುವುಡ್ ಪ್ರಾಣ್ಟಿಶನ್ ಮಾಡಿದಿದರು ತುಮ್ಬ ಚನಾರ್ದ ವಿದ್ಯಾನಿಲೆ ಗಾಟನಿದ್ರೆಯಲ್ಲಿದೆ ಗ್ರಹ ಸಚ್ವಾಲೆ ಕೈಕಟ್ಟಿ ಕುಳಿತಿದೆ ಅರಣ್ಯಿಲಾಖಿಗೆ ಮಾಹಿತಿಯೆ ಇಲ್ಲ ಇಸ್ಟುಂದು ಶ್ರಿಗಂದದ ಗಿಡಗಳ ಮಾರಣ ಹೋಮಾಗ್ತಿರುವಾಗ ನಮ ಬರೆಕ್ರ ನಂತ್ರಾ ಬೇದರ್ಜಿಲ್ಲಿಯ ಅವರಾತ್ತಾಲುಕಿನ ಐದು ಗ್ರಾಮಗಳ ರೈತರು ಗಷ್ಟಪಟ್ಟು ಮರಗಳನ ಬೆಳಸಿದ್ದು ಸುಮಾರು ಹತ್ರಿಂದ ಹದ್ನೇದು ವರ್ಷುಗಳಿಂದ ಬೆಳದಿರಂತ ಇನ್ನೇನು ಕಟಾವು ವಾಡಬೇಕೋನು ಚಿಂತನಿಯಲ್ಲಿ ರೈತರಿದ್ದು. ರೈತರ ಹೊಳಗಳಲ್ಲಿ ಬೆಳಿಯಲು ಉತ್ತೇಜನ ನಿಡಿತ್ತು ಹಿಗೆ ಬಿಳದ ಕಳ್ಳರಪಾಲಾದರೆ ಎಂ ಮಾಡವದು ಹೇಳಿ ನಿವಿಗ ನೊಡ್ದಿರೋದು ಬಿದರ್ದಿಲೆ ಅವರತ್ತಾಲುಕಿನ ಎನಗುಂದ ಹಾಗು ಸುತ್ತಲಿನ ಗ್ರಮಗಳ ದುರ್ಷಗಳನ್ನ ಕಷ್ಟಾಪಟ್ಟು ಮರಗಳನ್ನ ಬೆಳಿಸಿತ್ತು. ಮಿನಿಮಾಮ್ ಒಂದಿ ಗಿಡದಲೆನಿಲ್ಲಾ ಅಂದು 16-15 ಕೆಜಿ ಮಾಲಿತ್ತು ಟೋಟಲ್ಲಿ 14 ಅಕುಂದ ಅದ್ಮುರೋಷ್ ಬೆಳಿಸಿದ್ದ ನಂತ್ರನು ರಾತ್ರ

ರಾತ್ರಿ ಕಾಕೊಂಡು ಮಿಲ್ಲಾ ಮುಂದು ದಿನ ಆಯುದಗಳನ್ನ ತೊರಿಸಿ ಪ್ರಾಣಿಗಳನ್ನ ಕದ್ದೆಯೋ ಸಾಧ್ಯತ್ತೆ ಇದೆ ಎಂತಿದ್ದಾರೆ ರೈತ ಮುಖ್ಹಂಡರು ಪಲಿಸರು ಎಚ್ಚತ್ತುಕೊಂಡು ಮಾಳಿವಾಲಿಸ್ತು ಪಾನ್ನುತ್ತು ಇಲ್ಲಾಗಾಗಲಿದ್ದಾರೆ ಜತೆಗೆ ಅರಣ್ಯ ಇಲಾಖೆ ರೈತರಿಗೆ ಗಂದವನ್ನು ಮಾರಾಟಾ ಮಾಡವೇಕುವನ್ನು ಜಾಗುರ್ತಿ ಮುಡಿಸವೇಕಿದೆ. ಮಾರು ಕಟ್ಟೆಯ ಕುರಿತು ತಿಳುವಳಿಕೆ ಮುಡಿಸಿದ್ದರೆ ಕಳ್ಳಾರಾಯಿ ಕುರುತ್ತೆಗಳಿಗೆ ತಳೆವಡ್ಡ ಭೋದು ಇಗಾಗಿ ಇನ್ನಾದರು ಪೊಲಿಸರು ಎಚ್ಚತ್ತು ಕ ಸರಿಗ ಮದಲ್ಲ ಪ್ರಸ್ತಿನಿಯನ್ನು ತೆಲಿದರೆ ಶಿಗಂದದು ಮರಾನ್ನು ತಾಲಿದರೆ ಎಲ್ಲೋ ಒಂದರಿತಿನಲ್ಲಿ ಬೇರೆ ಕುರುಕ್ಷಕಳಿಗು ಹೋಳಿಸ್ತಲಿಯಿದು ಕಂಡಿತ ವಿಬ್ಬನ್ನು ಯಾವು ವಿದದಲ್ಲಿ ಪೆರೆ ಮರಗಳಿಗಿಂತ ವೈಶಿಷ್ಟಿವಾಗಿದೆ ಅರ್ತಕ್ಕತ್ತನು ಇದಿ ಕೊಳ ಕೊಳಕ್ಕಮ್ಮ಴್ಮ ಭೆಗಿದಿಯನ್ನು pirin MALṬZAಬಾಂದಿಯಾ. ಸುಗಂದ ದಿರೋಯಗಳಿಗು ಸಹಯಿದು ಬಳಿಕೆಗತೆ ಸಹಾಯಿದು ಸಿಗಂದ ಸ್ಪಸ್ಯಾಲಿಟಿ ಸಾಲಿ ಸಂಗಾಬಾದ ಆರಣಿ ಸಭೀಗಳಿ ಅವತು configure ದೆಯನ್ನ ಆಯಿ ಆಧು ಸ್ಲದ್ಧರು ಸಹಾಯಿದೆಗಿ ಇಗೆ ಶಿಗಂದ ಬಳಿಬೆಕ್ಕವತ್ತು ಮನ್ಸು ಮಾಡಿದ್ದೆ ಅದಲ್ಲಿ ನಮ್ಮಗೆ ಮದಲು ಬಿಕಾಗಿದ್ದು ಗುಣ್ಣು ಮಟ್ಟದ ಸಸಿಗಳ್ಳು ಇಸ್ಸಿಗಳು ದೊರಿಯಿತ್ತೆ

ಸಸಿಗಳು ನರ್ಸ್ರಿಗಳಲ್ಲಿ ಎಲ್ಲಕಡೆ ರಾಜದಲ್ಲಿ ನರ್ಸ್ರಿಸಿದಾವೆ. ಇಲಾಕೆ ಸಸ್ಯಗಳಲ್ಲಿ ಬೇಲ್ಸ್ತಿವಿ ಇವರ್ಷ ಆರ್ಲಕ್ಷದ್ಮೇಲ್ಪಟ ಸಸಿಗಳಲ್ಲಿ ಇಲಿ ಸಿಕೊದಿಲ್ಲ ಬಟ್ಟು ಬರು ವರ್ಷಕ್ಕೆ ಇದರ್ಭಗೆ ಪ್ರದಾನೆತ ಕೊಟ್ಟಿದಿವಿ ಮತ್ತು ಸಾಕಸ್ಟು ಪ್ರಚಾರಾನು ಕೊಟ್ಟಿದಿ ನಾಗರಾಜವರು ನಮ್ಸ್ಕರಾ. ನಮ್ಸ್ಕರಾ ಸಾಯಿಂದು ನಾಗರಾಜ್ ಪ್ರಸ್ತೆ ಕೊಳಿದಿ ಸಿಗಾಂದು ಆಟ್ಪೋದು ಎಸ್ಟಿಡಿ ಒಂದ ಸರ ಅಂತ್ರಾನ ಬಳೆ ಅಂತಿದುವಾದ ಪಾ ಅಂತರ ಬಂದಾಗಾ ನಿವಾದು ಅಬ್ಬಳೆಗೆ ಪ್ರಕಾರ ನಿವಿಸ್ತಿದು ಅನುಗಣವಾಗಿ ಸುಪ್ಪ ಬೇರಿಯಾಗುತ್ತೆ ಅದುಕೆ ವೆತ್ಯಾಸಾ ಬಳತ್ತದೆ. ಅನ ಪ್ರಸ್ತುದ ನಿವಿಸ್ತದೆ ಆಟಿಯಿಲ್ಲಾ ಆಣ್ಣವುದ್ದೆ ನಿವುದ್ದೆ ಕೊರಿಸ್ತು ಕೊರು ಬರ್ಗ ನಿವಾಗ ದಿಯಿದಾಗಿ ತಾರಿಗಹೆ ಗೊರು ನಾಂಟಲ್ಲಿಸ್ತೆ ಎತ್ತು ಆದು ಅನುಗಣ ಸಲ್ಪ ಜೋರಾ ಮತ್ತಡಿ. ಅಯಾಮಾಲಸಾಪ್ ಬೇಯಸಿ ಫಾರೆಶ್ಣಿಗ್ ರಾಜೆಯಟ್ಟಿ ಅವದಾ ನಿಮ್ಮಗೆ ಇದ್ದರು ಬಗ್ಗೆ ಸಾಕರ್ಷು ಮಾಯತ್ತಿರಿತ್ತಾಗಾದರೆ ತಾವು ಇಲದರೆತಿನಿಲ್ಲಿ ಕೇಮ್ಪುಮನ್ನ ಅಗಿರುಬ್ಬದು ಹೊಪ್ಪು ಮನ್ನು ಸಂಡಿಯಿರವಾದು ಸಾವುಲು ಬೊಮಿ ಅಸ್ಟು ಸೂಕ್ತಾಲ್ಲಾ ಆಯಿತ್ತು ಸವಳು ಬೋಮಿ ಅಂತುದೆ ಸರ್ಯಿಗಾ ಇಗಾ ಬೇಸಾಯಕ್ರಮಗಳಿದ ಅಂತರಾಯಿತು
